Indonesia,Simalungun
abai,tios
abang,"abang, nasikaha"
abang dari suami,nasikaha
abangdariistri,lawei
abu,"abab, abu, silabu, sirabun"
abu dapur,abuan
abu(hasilpembakaran),abab
abu-abu,silabu
acak-acakan,magurbang
acar,acar
Aceh,asih
acuh,eas
ada,"adong, aong, nadong, targugun"
ada kalanya,ongga
ada tumpukan,targugun 
adakan,"adonghon, adonghon "
adat,"adat, hombar"
adik,"anggi, botou, nasianggi"
aduh,lo
aduk,"gaor, goar, ugar"
agak,"antak, tarmelhat, tarparah, tarpinsur, tarpintor, tarrangkah, tarrenges, tartorang, tartoras"
agak banyak,undong
agak bau,tarbau 
agak cepat,magirah 
agak demam,malab
agak jauh,tardaoh 
agak kelihatan,ebas
agak kuat,magogoh 
agak mentah,mongkol
agak penuh,targok
agak sempit,"tarsompit, tarsosot "
agak susah,tarngalut
agak;   kira-kira,antak
agaknya,agih
agama,ugama
ah,"ah, eh"
ahli,surat
aib,tursam
air,"aek, bah"
air buah jeruk,sigor
air enau,bak
air kencing anak,osap
air kencing anak- anak,osap
air liur,"dehdeh, liur"
air mandi yang berlendir,lindir
air masuk,gojor
air mata,iluh
air tajin,purik
air terjun,sampuran
air yang dituang,gobok
air yang terdapat,tombul
air yang terdapat dalam bambu,tombul
air yang tergenang,hobong
ajak,"mangarahkon 
"
ajal,ajal
ajar,"ajar, pinsang"
ajimat,ajimat
akan,"anjai, barah, laho, sol"
akan (untuk menyatakan sesuatu yang tidak diharapkan),anjai
akan dihukum uhur,uhumon 
akan ditegakkan,padirgakon 
akar,urat
akar yang,tantan
akar yang bergantung,tantan
aksara,hatalingan
aksara batak Simalungun yang bunyinya ei,hatalingan
aksi,odak
aku,ahu
aku / saya,ahu
alas,"holam, lapik, ojak, polod"
alas kaki,tordou
alasan,"lompa, sidalian"
alat  tali untuk memanjat pinang kelapa,langgiat
alat (kuas) untuk menghaluskan benang agar tidak berbulu,unggas
alat bertenun,sabang
alat bunyi,rangrung
alat bunyi- bunyian penghalau burung (binatang),rangrung
alat memangku,pangampu
alat menangkap ikan / burung,dopir
alat menjaga burung di ladang yang,hatarpok
alat menyadap,agadi
alat menyiang,kiskis
alat menyiang rumput dipermukaan tanah yang terbuat dari besi dgn bentuk setengah lingkaran dan bergagang,kiskis
alat musik tiup udara bebas,sangkaluat
alat pemintal,"parbatu, uli"
alat pemintal benang buat lobei parbatu! ambil dulu alat pemintal benang!,parbatu
alat penghisap rokok (candu),bulugarung
alat pengikat,ihat
alat pengipas,hipaskipas
alat penutup,langkop
alat penutup wadah; tutup,langkop
alat perangkap,pinggil
alat tiup untuk,dongkut
alat tiup untuk memanggil rusa saat berburu,dongkut
alat tulis yang,suligi
alat tulis yang terbuat dari lidi ijuk yang di- runcingkan ujungnya seperti pena (pada suku Batak dahulu ini dipakai untuk menulis di kulit-kulit kayu),suligi
alat untuk bertenun,sabang
alat untuk me- nangkap ikan atau burung,dopir
alat untuk meme,tubar
alat untuk meme- rahkan benang,tubar
alat untuk mencampur sirih,podalayam
alat untuk menggendong,parombah 
alat untuk mengorek,girik
alat untuk mengorek kuping,girik
alat untuk mengusir burung di ladang,hapkap
alat untuk mengusir gelatik,hotor
alat yang,hapkap
alat yang digunakan untuk menyayat,panayat 
alat yang dipakai,tuldak
alat yang dipakai dalam pertenunan,tuldak
alat yang dipergunakan untuk membuang akar-akar pada ladang yang baru dibuka,dagil
algojo,halak na gogoh 
alim,malim
alir,alir
alirkan,aliri  
alis,salibon
Allah,naibata
alu,andalu
amat,"ipong, tomos, tumang"
amat lama,lenger
amat tinggi,libos
ambil,"abis, alop, angkat, angkit, buat, poluk, putei"
amil,malim
ampelas,polas
ampelas (kertas pasir),polas
ampun,ampun
anai,"habong, sanei"
anak,"dakdanak, niombah, ombahan, panogolan"
anak- anak,dakdanak
anak ayam,kikit
anak bungsu,aneane
anak dari abang ibu,lawei
anak dari kakak,panogolan
anak hewan,bituha
anak hewan berkaki empat yang baru lahir,bituha
anak laki,"anak, dalahi"
anak laki-laki,anak
anak lasak,runggas
anak lidah,ipit
anak panah,"ipoh, ipuh, lingkit"
anak perempuan,"boru, niombah 
daboru 
"
anak rambut,bunsiak
anak sungai,tulpang
anak sungai tului [tuluy] v singgah,tulpang
anak tanaman,lata
anak tanaman; bibit,lata
anak tiri,anduh
anak tumbuhan,upok
anak tumbuhan yang baru tumbuh dari dalam tanah,upok
anak yang lasak,runggas
anak yang telah,tilaha
anak yang telah meninggal,tilaha
ancam,"gombit, gurindam, omar, ondam"
ancam; ,gombit
andal,unsagah
angan-angan,nipi
anggap,anggap
anggapan,anggapan
anggota,"pagori, ring"
angguk,ondok
anggur,anggur
angin,"alogo, logou, pongit, poting"
angkat,"ain, angkat, ayob, bangkit"
angkat; ,bangkit
angkat;  naikkan,angkat
angkuh,"anjang, mapas"
angkut,angkut
angsa,angsa
anjak,ranjak
anjing,"anjing, asu, baliang, muha"
anjur,"tajuk, tingkal"
antah,botah
antar,taruh
anting,ombing
anting-anting yang bulat dan tipis,ombing
Antr kelompok,marga
Antr kelompok kekerabatan yang eksogam dan unilinier secara patrilineal,marga
anus,hayang
anyam,"baju, bayu"
anyir,moyat
apa,aha
apa; apakah,aha
apalagi,bangkin
api,apui
api unggun,pinurun
api yang berbara banyak,dagos
apit,poldas
apung,"mubang, mumbang"
arah,ubar
arahmatahariterbittimur,hataran
arang,"agong, arang"
areal ladang,lonih
areal ladang yang telah dicangkul atau dikerjakan,lonih
aren,bagod
aren pertama,tukason
aren pertama dibuka untuk mengambil nira- nya,tukason
arit,sasabi
Ark nasib,okang
ark sebelah,hait
arti,arti
arus,aras
asah,hirah
asal,asal
asal (tentang daerah),asal
asal seseorang,par
asam,"masam, migar"
asam durian,sibak
asam durian (buah durian masak yang diasamkan),sibak
asam gelugur,galugur
asamkan,pamigar 
asap,"asap, timus"
asing,"legan, suhi"
asing; aneh; tidak biasa; lain; beda tidak sama,legan
asma,hosong
asma; bengek,hosong
aspal,aspal
asuh,ardak
atap,tayup
atap dari bambu,butar
atap dari bambu butarbutar [butar butar] n tangkai butet [butEt] n panggilan untuk,butar
atap lalang,sirat
atas,"atas, babou, datas"
atau,atap
atur,"atur, batur, ransap"
aturan,"aturan , ranggi"
aus,maos
aus; usang,maos
avokad,apokat
ayah,amang
ayak,"piar, sege"
ayam,"dayok, jaguran, manuk"
ayam betina yang baru menetaskan anak,manghurtuk 
ayam laga,"jagur, tombu"
ayam laga; ayam sabungan,jagur
ayam liar,bolajan
ayam merah,mirah
ayam yang berbulu,soridi
ayam yang berbulu bintik,soridi
ayo,"eta, laita, ne, neta"
ayo; mari,laita
ayun,ondei
ayun; berayun- ayun,ondei
azimat,rintabu
azimat ,rintabu
bab,bindu
babat pendek,pat
babi,babui
babi hutan,"aili, baragas, sitabiar"
babi hutan jantan,baragas
babi jantan,dalu
babu,jabolon
babu; budak,jabolon
baca,basa
bacang,halam
bacok,galgak
bacok; potong; ,galgak
badak,barak
badan,pamatang
badan (jasad manusia keseluruhan) pamohot [pamOhOt] v pergunakan,pamatang
bagai buluh,lupung
bagaimana,"hua, naha, sonaha, sondia"
bagi,"bagi, parsaribu"
bagian,"Sidadolog, awanawan, bagian, hampit, jambar, jangan, paratas, partoruh, parujung, rangin"
bagian (sisi),hampit
bagian batang enau yang keras (bagian luar),pangkuh
bagian dalam,ombut
bagian dalam batang pisang dan dapat dibuat menjadi sayur,hungkam
bagian dalam kayu,unok
bagian dalam kayu yang lembut,unok
bagian dalam pucuktumbuh-tumbuhan seperti kelapa aren dan pinang,ombut
bagian dari alat,sumbi
bagian dari alat tenun yang berfuingsi untuk menyamakan lebar sisi kain,sumbi
bagian dari marga Purba,Sidadolog
bagian ekor,imput
bagian ekor binatang,imput
bagian kemaluan,binsil
bagian kemaluan perempuan,binsil
bagian kepala anak kecil,awanawan
bagian marga,pak
bagian pisau yang dimasukkan pada hulunya (gagang),pasihon
bagian rumah untuk tamu terhormat,luluan
bagian rumah yang dijadikan tempat untuk tamu yang dihormati,luluan
bagus,"handalan, jagar, jerget, jilei, jodah, tupa"
bagus (baik sekali),tupa
bagus (tentang ayam),jerget
bagus;  baik,jagar
bagus; cantik,jilei
bahan masakan,lompahon 
bahu,"abara, barabara, haledang"
baik,"bujur, dear, jalu, sintong, turei"
baik (tentang letak),jalu
baik sekali; sempurna,torsa
bajak,tinggala
baju,baju
bakar,"padar, surbui, tutung"
"bakar (tentang hutan, rumah, dsb)",surbui
baki,idang
baku tembak,marsibodilan 
bakul,"bantei, bius, gampil, tapongan"
bakul berbentuk,ompon
bakul berbentuk bulat dan panjang,ompon
bakul besar,haduduk
balai,"balei, jambur"
balam,kuhui
balam (semacam burung),kuhui
balas,balas
balik,"balik, mulak, pagoling"
baling,ingon
balut,gulu
bambu,"buluh, garingging"
bambu  untuk membuat rumah,aris
bambu muda yang,baoh
bambu tempat air,garingging
bambu yang,turbung
bambu yang dibelah ujungnya,turbung
bandal,dajal
bandal; keras kepala,dajal
bandel,jangal
bangga,"hede, unsaga"
bangga (atas diri sendiri),unsaga
bangkai,"bangkei, mayat"
bangkang,jua
bangkit,"bait, puho"
bangku,bangku
bangsa,"ampoldang, bangsa"
banjir,"bobang, sumbang"
banjir keringat,momot
bantal,"halangulu, langkian"
banting,pas
bantu,"astu, bastu, kahei, sampat"
bantuan,"keheion, keheion "
banyak,"bahat, bosei, buei, hanar, harantui, harunrun, jajan, junah, lonjan, lota, marsimutah, poyad, rasei, sab, sampal"
banyak bergantungan,harantui
banyak habis,lahar
banyak kerja,buhut
banyak orang yang bermuntahan parmutah n orang yang mudah muntah,marsimutah 
banyak sekali,"hanjat, lunak"
bapak,bapa
baptis,didi
bara,"baya, ya"
bara apai,dagas
bara api,"nar, tunam"
barang,"basebase, doramani, doromani, mosal"
barang (makanan dan sebagainya) yang diberikan sebagai persembahan kepada roh halus,berean
barang- barang paerhiasan pengantin doran [dOran] n bunyi piring yang,doramani
barang- barang perhiasan pengantin,doromani
barang simpanan,homitan
barang yang ber- serak,runta
barang yang berserak,runta
barang yang sudah lama tidak terpakai,basebase
barang-barang bekas,mosal
barat,"hasundutan, hasundutan "
barat,pastima
baring,gale
baris,"baris, noran, ristei, titir"
barter,kokang
baru,"baru, honsi, roba"
baru tumbuh,turab
basah,"arbah, basah, bongsot, litap, marlimur, mosap, taptap"
basah kuyup,"huyup, limur, marlimur "
"basah kuyup; 	kuyup",limur
basi,"basi, dangir, mayom"
basi; mulai busuk,mayom
baskom,sambung
basuh,"basuh, jomuk, jumuk, losou, usah"
basuh; cuci,"jomuk, jumuk"
batang tumbuh,halung
batang tumbuh- tumbuhan berbentuk tali,halung
batas,"alog, balog, batos, bolat, ingganan, nolih, simbalog, sogih"
batas (untuk pekerjaan),nolih
batik,batik
batu,"asahan, batu"
batu apung,ranggisgis
batu asah kecil,lian
batu giling,tuktuk
batu penindih,barugu
batu penindih yang ditenggelamkan ke dalam air agar benda tersebut teng- gelam,barugu
batu tulis,lei
batuk,"batuk, ongkos"
batuk serak,ongkos
bau,bau
bau aring,aring
bau busuk,"opuk, soham"
bau pesing,songa
bawa,"boan, bobai, boban"
bawa semua,hadur
bawah,"talaga, toruh"
bawang,hosaya
bawang (sejenis umbi-umbian),bawang
bayam,bayam
bayang- bayang,halinoh
bayar,"dang, gendo, retes"
Bdari katak,jokjok
bebal,"bojol, lontong"
bebat,bobat
bebatuan,talutuk
beberapa,sasadiha
beberapa sasanggul [sasaggul] n penyakit bubul,sasadiha
bedak,bodak
begitu,"atege, atene, honsa, nin, sonai"
bekal,"bohal, tadah, tugo"
bekas,"balameha, pamongkikan"
bekas batas ladang,balameha
bekas cambukan,bolei
bekas ketaman,pinuh
bekas ketaman kayu yang ada di ladang,pinuh
bekas laluan,limbas
bekas yang dilalui,limbei
bekerja,"marhobas, marhorja "
bekerja parhobas n yang bekerja,marhobas 
beku,boku
bela,hopkop
"bela; mamhopkop	v		membela",hopkop
belah,"batis, bolah, rogang, taha"
belahan kayu,bangkir
belahan kayu yang kecil,bangkir
belahi,batisi 
belakang,pudi
belakang pinggang,gunung
belakangan,parpudi 
belalai,buleile
belalang,balang
belang,"bolang, jolang, rintik"
belanga,balanga
belanga; kuali besar,balanga
belenggu,pasung
belerang,hirtah
beli,boli
belia,boboru
beliak,bondil
beliau,morah
belikat,papat
belimbing,"balimbing, belimbing"
belinjo,melinjo
belit,bolit
belok,legot
belukar,galunggung
belum,lape
belum tentu,"antah, antoh"
"belum, masih dalam keadaan tidak",lape
belut,lindung
benalu,sarindan
benam,"bonam, ronjom, usop"
benang,"bonang, jorgah"
benang warna,gatip
benang warna- warni yang dipintal,gatip
benar,"bonar, jati, sihong, tongon, tuhu"
benar; bonar hatani benar katanya; ,bonar
bencana,hak
benci,"jubjub, luat, palak, sogam, sugar"
benda atau sesuatu,ngidol
benda atau sesuatu yang besar,ngidol
benda yang berikat,pusil
benda yang berikat bulat seperti telur ayam,pusil
bendungan; timbunan tanah yang ditinggi- kan untuk membendung air,houta
bengar,berang
bengis,benger
bengkak,"bosol, burnang, butong, gumbang, jembeng, tambing"
"bengkak (karena		kena	pukulan)",jembeng
bengkak dan gatal,jutal
bengkak dan gatal; ,jutal
bengkak sedikit,punil
bengkarung,ilik
bengkok,"bontuk, degol, dengkut, galedou, gedug, geldok, geldou, gelug, gundung, janggir, jeot, leduk, oduk"
bengkok tidak,eduk
bengkok tidak sampai patah,eduk
bengkok; - kokkan,gedug
bengkok-bengkok,gedol
benih,bonih
bentang,"ampar, arbong"
bentang; hampar; kembang; ,herbang
bentangkan,amparhon 
benteng,hubu
benteng; kubu,hubu
bentuk,"bondul, pou, turpa"
bentuk (bangun- an),turpa
bentuk papan,seleng
bentuk papan se- tengah inci,seleng
bentuk terikat lah,ma
bentuk yang tidak,baling
bentuk yang tidak simetris,baling
"bentuk; sabondul		adv	sebentuk",bondul
beo,kiwung
ber,"hapuyung, marindik, pandeihon , ronggot , tumbalelang"
ber- guling terpelanting,tumbalelang
ber; prefiks pembentuk verba  mem- punyai;  menggunakan;  menghasilkan;  dalam jumlah atau kelipatan;  mengaku dan memanggil sebagai,mar
berabang,marabang 
beracun,sorlupan 
berahi,agab
berair,marbah
berair bah banggal sungai,marbah 
berakar,"marurat, marurat "
beralaskan,malapik 
beranak,marniombah 
beranggota,"marpagori, marpagori , marpagorihon, marpagorihon "
berangin,marlogou 
berangkat,bingkat
berani,"pag, pangkar"
beranjak,"manranjak, manranjak "
berantai,"marunggur, marunggur "
berantuk,santik
berapa,"piga, sadiha"
berapi,marapui 
beras,Ry
beras yang dipergunakan untuk tepung tawar,onja
berasa susah,marngalutan 
berasam,marmigar 
berasap,martimus 
berat,"bontan, borat, tondui"
beratap,"martayup, martayup "
beratapkan,"martayupkon, martayupkon "
beratur,maratur 
berayah,"maramang, maramang "
berayun,tuppol
berayun (naik turun),tuppol
berazimat,"marrintabu, marrintabu 
"
berbagi,marbagi 
berbaju,"marbaju, marbaju "
berbantal,"marhalangulu, marhalangulu "
berbapak,marbapa 
berbaring,"gadal, margale, margale "
berbaris,"marbaris , marristei , martitir , rintang, riris"
berbatas,"marbalog , maringanan"
berbatas inggot,maringanan 
berbatasan,marsimbalog
berbatu,marbatu 
berbatuk,marbatuk 
berbau,marbau 
berbau pesing,marsonga 
berbau tidak sedap (tentang bangkai dan sebagainya),masik
berbebat,marbobat 
berbeda,telpang
berbedak,marbodak 
berbekal,"martadah, martadah "
"ber-belang,	berbintik-bintik",marindik
berbelok,"gadul, marlegot "
berbelok-belok,gadul
berbengkok,margelug
